visit_date,year,weekday,account_number
2019-01-12T13:00:00Z,2019,Saturday,C0305
2019-01-12T13:00:00Z,2019,Saturday,C0121
2019-01-12T13:00:00Z,2019,Saturday,C0003
2019-01-12T13:00:00Z,2019,Saturday,C0021
2019-01-12T13:00:00Z,2019,Saturday,C0025
2019-01-12T13:00:00Z,2019,Saturday,C0031
2019-01-12T13:00:00Z,2019,Saturday,C0032
2019-01-12T13:00:00Z,2019,Saturday,C0033
2019-01-12T13:00:00Z,2019,Saturday,C0043
2019-01-12T13:00:00Z,2019,Saturday,C0065
2019-01-12T13:00:00Z,2019,Saturday,C0071
2019-01-12T13:00:00Z,2019,Saturday,C0072
2019-01-12T13:00:00Z,2019,Saturday,C0074
2019-01-12T13:00:00Z,2019,Saturday,C0080
2019-01-12T13:00:00Z,2019,Saturday,C0092
2019-01-12T13:00:00Z,2019,Saturday,C0098
2019-01-12T13:00:00Z,2019,Saturday,C0100
2019-01-12T13:00:00Z,2019,Saturday,C0101
2019-01-12T13:00:00Z,2019,Saturday,C0104
2019-01-12T13:00:00Z,2019,Saturday,C0106
2019-01-12T13:00:00Z,2019,Saturday,C0131
2019-01-12T13:00:00Z,2019,Saturday,C0133
2019-01-12T13:00:00Z,2019,Saturday,C0144
2019-01-12T13:00:00Z,2019,Saturday,C0170
2019-01-12T13:00:00Z,2019,Saturday,C0171
2019-01-12T13:00:00Z,2019,Saturday,C0175
2019-01-12T13:00:00Z,2019,Saturday,C0185
2019-01-12T13:00:00Z,2019,Saturday,C0187
2019-01-12T13:00:00Z,2019,Saturday,C0191
2019-01-12T13:00:00Z,2019,Saturday,C0193
2019-01-12T13:00:00Z,2019,Saturday,C0203
2019-01-12T13:00:00Z,2019,Saturday,C0204
2019-01-12T13:00:00Z,2019,Saturday,C0212
2019-01-12T13:00:00Z,2019,Saturday,C0215
2019-01-12T13:00:00Z,2019,Saturday,C0216
2019-01-12T13:00:00Z,2019,Saturday,C0254
2019-01-12T13:00:00Z,2019,Saturday,C0256
2019-01-12T13:00:00Z,2019,Saturday,C0258
2019-01-12T13:00:00Z,2019,Saturday,C0263
2019-01-12T13:00:00Z,2019,Saturday,C0269
2019-01-12T13:00:00Z,2019,Saturday,C0296
2019-01-12T13:00:00Z,2019,Saturday,C0304
2019-01-12T13:00:00Z,2019,Saturday,C0307
2019-01-12T13:00:00Z,2019,Saturday,C0310
2019-01-12T13:00:00Z,2019,Saturday,C0314
2019-01-12T13:00:00Z,2019,Saturday,C0326
2019-01-12T13:00:00Z,2019,Saturday,C0328
2019-01-12T13:00:00Z,2019,Saturday,C0336
2019-01-12T13:00:00Z,2019,Saturday,C0356
2019-01-12T13:00:00Z,2019,Saturday,C0361
2019-01-12T13:00:00Z,2019,Saturday,C0365
2019-01-12T13:00:00Z,2019,Saturday,C0368
2019-01-12T13:00:00Z,2019,Saturday,C0369
2019-01-12T13:00:00Z,2019,Saturday,C0370
2019-01-12T13:00:00Z,2019,Saturday,C0374
2019-01-12T13:00:00Z,2019,Saturday,C0387
2019-01-12T13:00:00Z,2019,Saturday,C0397
2019-01-12T13:00:00Z,2019,Saturday,C0451
2019-01-12T13:00:00Z,2019,Saturday,C0454
2019-01-12T13:00:00Z,2019,Saturday,C0469
2019-01-12T13:00:00Z,2019,Saturday,C0478
2019-01-12T13:00:00Z,2019,Saturday,C0488
2019-01-12T13:00:00Z,2019,Saturday,C0494
2019-01-12T13:00:00Z,2019,Saturday,C0498
2019-01-12T13:00:00Z,2019,Saturday,C0508
2019-01-12T13:00:00Z,2019,Saturday,C0519
2019-01-12T13:00:00Z,2019,Saturday,C0521
2019-01-12T13:00:00Z,2019,Saturday,C0549
2019-01-12T13:00:00Z,2019,Saturday,C0553
2019-01-12T13:00:00Z,2019,Saturday,C0569
2019-01-12T13:00:00Z,2019,Saturday,C0572
2019-01-12T13:00:00Z,2019,Saturday,C0581
2019-01-12T13:00:00Z,2019,Saturday,C0586
2019-01-12T13:00:00Z,2019,Saturday,C0608
2019-01-12T13:00:00Z,2019,Saturday,C0609
2019-01-12T13:00:00Z,2019,Saturday,C0620
2019-01-12T13:00:00Z,2019,Saturday,C0623
2019-01-12T13:00:00Z,2019,Saturday,C0624
2019-01-12T13:00:00Z,2019,Saturday,C0625
2019-01-12T13:00:00Z,2019,Saturday,C0626
2019-01-12T13:00:00Z,2019,Saturday,C0627
2019-01-12T13:00:00Z,2019,Saturday,C0631
2019-01-12T13:00:00Z,2019,Saturday,C0636
2019-01-12T13:00:00Z,2019,Saturday,C0647
2019-01-12T13:00:00Z,2019,Saturday,C0648
2019-01-12T13:00:00Z,2019,Saturday,C0655
2019-01-12T13:00:00Z,2019,Saturday,C0662
2019-01-12T13:00:00Z,2019,Saturday,C0663
2019-01-12T13:00:00Z,2019,Saturday,C0670
2019-01-12T13:00:00Z,2019,Saturday,C0690
2019-01-12T13:00:00Z,2019,Saturday,C0691
2019-01-12T13:00:00Z,2019,Saturday,C0701
2019-01-12T13:00:00Z,2019,Saturday,C0706
2019-01-12T13:00:00Z,2019,Saturday,C0711
2019-01-12T13:00:00Z,2019,Saturday,C0719
2019-01-15T13:00:00Z,2019,Tuesday,C0005
2019-01-15T13:00:00Z,2019,Tuesday,C0053
2019-01-15T13:00:00Z,2019,Tuesday,C0068
2019-01-15T13:00:00Z,2019,Tuesday,C0081
2019-01-15T13:00:00Z,2019,Tuesday,C0089
2019-01-15T13:00:00Z,2019,Tuesday,C0135
2019-01-15T13:00:00Z,2019,Tuesday,C0137
2019-01-15T13:00:00Z,2019,Tuesday,C0150
2019-01-15T13:00:00Z,2019,Tuesday,C0152
2019-01-15T13:00:00Z,2019,Tuesday,C0168
2019-01-15T13:00:00Z,2019,Tuesday,C0205
2019-01-15T13:00:00Z,2019,Tuesday,C0213
2019-01-15T13:00:00Z,2019,Tuesday,C0216
2019-01-15T13:00:00Z,2019,Tuesday,C0217
2019-01-15T13:00:00Z,2019,Tuesday,C0219
2019-01-15T13:00:00Z,2019,Tuesday,C0237
2019-01-15T13:00:00Z,2019,Tuesday,C0245
2019-01-15T13:00:00Z,2019,Tuesday,C0248
2019-01-15T13:00:00Z,2019,Tuesday,C0248
2019-01-15T13:00:00Z,2019,Tuesday,C0288
2019-01-15T13:00:00Z,2019,Tuesday,C0302
2019-01-15T13:00:00Z,2019,Tuesday,C0311
2019-01-15T13:00:00Z,2019,Tuesday,C0312
2019-01-15T13:00:00Z,2019,Tuesday,C0313
2019-01-15T13:00:00Z,2019,Tuesday,C0316
2019-01-15T13:00:00Z,2019,Tuesday,C0318
2019-01-15T13:00:00Z,2019,Tuesday,C0322
2019-01-15T13:00:00Z,2019,Tuesday,C0341
2019-01-15T13:00:00Z,2019,Tuesday,C0342
2019-01-15T13:00:00Z,2019,Tuesday,C0366
2019-01-15T13:00:00Z,2019,Tuesday,C0371
2019-01-15T13:00:00Z,2019,Tuesday,C0372
2019-01-15T13:00:00Z,2019,Tuesday,C0381
2019-01-15T13:00:00Z,2019,Tuesday,C0415
2019-01-15T13:00:00Z,2019,Tuesday,C0420
2019-01-15T13:00:00Z,2019,Tuesday,C0423
2019-01-15T13:00:00Z,2019,Tuesday,C0429
2019-01-15T13:00:00Z,2019,Tuesday,C0430
2019-01-15T13:00:00Z,2019,Tuesday,C0437
2019-01-15T13:00:00Z,2019,Tuesday,C0449
2019-01-15T13:00:00Z,2019,Tuesday,C0456
2019-01-15T13:00:00Z,2019,Tuesday,C0468
2019-01-15T13:00:00Z,2019,Tuesday,C0473
